98.97.93.0/24,US,US-TX,Dallas,
98.97.94.0/24,US,US-TX,Dallas,
98.97.95.0/24,US,US-TX,Dallas,
98.97.96.0/24,US,US-WA,Seattle,
98.97.97.0/24,US,US-WA,Seattle,
98.97.98.0/24,US,US-WA,Seattle,
98.97.99.0/24,US,US-WA,Seattle,
98.97.100.0/24,US,US-WA,Seattle,
98.97.101.0/24,US,US-WA,Seattle,
98.97.102.0/24,US,US-WA,Seattle,
98.97.103.0/24,US,US-WA,Seattle,
98.97.104.0/24,US,US-WA,Seattle,
98.97.105.0/24,US,US-WA,Seattle,
98.97.106.0/24,US,US-WA,Seattle,
98.97.107.0/24,US,US-WA,Seattle,
98.97.108.0/24,US,US-WA,Seattle,
98.97.109.0/24,US,US-WA,Seattle,
98.97.110.0/24,US,US-WA,Seattle,
98.97.111.0/24,US,US-WA,Seattle,
98.97.112.0/24,US,US-WA,Seattle,
98.97.113.0/24,US,US-WA,Seattle,
98.97.114.0/24,US,US-WA,Seattle,
98.97.115.0/24,US,US-WA,Seattle,
98.97.116.0/24,US,US-WA,Seattle,
98.97.117.0/24,US,US-WA,Seattle,
98.97.118.0/24,US,US-WA,Seattle,
98.97.119.0/24,US,US-WA,Seattle,
98.97.120.0/24,US,US-WA,Seattle,
98.97.121.0/24,US,US-WA,Seattle,
98.97.122.0/24,US,US-WA,Seattle,
98.97.123.0/24,US,US-WA,Seattle,
98.97.124.0/24,US,US-WA,Seattle,
98.97.125.0/24,US,US-WA,Seattle,
98.97.126.0/24,US,US-WA,Seattle,
98.97.127.0/24,US,US-WA,Seattle,
98.97.128.0/24,CA,CA-AB,Calgary,
98.97.129.0/24,CA,CA-AB,Calgary,
98.97.130.0/24,CA,CA-AB,Calgary,
98.97.131.0/24,CA,CA-AB,Calgary,
98.97.132.0/24,CA,CA-AB,Calgary,
98.97.133.0/24,CA,CA-AB,Calgary,
98.97.134.0/24,CA,CA-AB,Calgary,
98.97.135.0/24,CA,CA-AB,Calgary,
98.97.136.0/24,CA,CA-AB,Calgary,
98.97.137.0/24,CA,CA-AB,Calgary,
98.97.138.0/24,CA,CA-AB,Calgary,
98.97.139.0/24,CA,CA-AB,Calgary,
98.97.140.0/24,CA,CA-AB,Calgary,
98.97.141.0/24,CA,CA-AB,Calgary,
98.97.142.0/24,CA,CA-AB,Calgary,
98.97.143.0/24,CA,CA-AB,Calgary,
98.97.144.0/24,CA,CA-BC,Vancouver,
98.97.145.0/24,CA,CA-BC,Vancouver,
98.97.146.0/24,CA,CA-BC,Vancouver,
98.97.147.0/24,CA,CA-BC,Vancouver,
98.97.148.0/24,CA,CA-BC,Vancouver,
98.97.149.0/24,CA,CA-BC,Vancouver,
98.97.150.0/24,CA,CA-BC,Vancouver,
98.97.151.0/24,CA,CA-BC,Vancouver,
98.97.152.0/24,CA,CA-BC,Vancouver,
98.97.153.0/24,CA,CA-BC,Vancouver,
98.97.154.0/24,CA,CA-BC,Vancouver,
98.97.155.0/24,CA,CA-BC,Vancouver,
98.97.156.0/24,CA,CA-BC,Vancouver,
98.97.157.0/24,CA,CA-BC,Vancouver,
98.97.158.0/24,CA,CA-BC,Vancouver,
98.97.159.0/24,CA,CA-BC,Vancouver,
98.97.160.0/24,CA,CA-AB,Calgary,
98.97.161.0/24,CA,CA-AB,Calgary,
98.97.162.0/24,CA,CA-AB,Calgary,
98.97.163.0/24,CA,CA-AB,Calgary,
