Y:-29.224767 X:-177.894399,-29.224766550319305,-177.89439916124658,http://maps.google.com/maps?z=12&t=m&q=loc:-29.224766550319305+-177.89439916124658
Y:-5.609374 X:154.590869,-5.6093742532627795,154.5908694171279,http://maps.google.com/maps?z=12&t=m&q=loc:-5.6093742532627795+154.5908694171279
Y:-5.338369 X:159.417512,-5.338368824592281,159.41751225658652,http://maps.google.com/maps?z=12&t=m&q=loc:-5.338368824592281+159.41751225658652
Y:-5.223506 X:154.459588,-5.22350609287371,154.45958826891328,http://maps.google.com/maps?z=12&t=m&q=loc:-5.22350609287371+154.45958826891328
17.975437 -62.903592,17.975437083062356,-62.90359212099408,http://maps.google.com/maps?z=12&t=m&q=loc:17.975437083062356+-62.90359212099408
Y:25.813951 X:123.596119,25.813951335546538,123.59611897839493,http://maps.google.com/maps?z=12&t=m&q=loc:25.813951335546538+123.59611897839493
29.398683 -13.406875,29.39868338035656,-13.406874685362586,http://maps.google.com/maps?z=12&t=m&q=loc:29.39868338035656+-13.406874685362586
35.822482 14.248963,35.822482152702136,14.248963272310569,http://maps.google.com/maps?z=12&t=m&q=loc:35.822482152702136+14.248963272310569
35.892265 -5.302672,35.89226496558978,-5.302672473184401,http://maps.google.com/maps?z=12&t=m&q=loc:35.89226496558978+-5.302672473184401
35.958237 -2.951862,35.95823723396974,-2.951861850396948,http://maps.google.com/maps?z=12&t=m&q=loc:35.95823723396974+-2.951861850396948
